INDICADOR DO CAFÉ ROBUSTA CEPEA/ESALQ,,
,,
Fonte: Cepea,,
Data,À vista R$,À vista US$
30/04/2002,"56,73","24,02"
02/05/2002,"57,06","23,8"
03/05/2002,"57,49","23,86"
06/05/2002,"57,42","23,72"
07/05/2002,"58,22","23,91"
08/05/2002,"58,17","23,85"
09/05/2002,"55,99","22,64"
10/05/2002,"56,46","22,88"
13/05/2002,"56,69","22,49"
14/05/2002,"57,15","22,68"
15/05/2002,"57,6","22,98"
16/05/2002,58,"23,51"
17/05/2002,"58,07","23,45"
20/05/2002,"59,6","23,99"
21/05/2002,"60,92","24,54"
22/05/2002,"59,39","23,52"
23/05/2002,"59,44","23,5"
24/05/2002,"59,52","23,61"
27/05/2002,"59,79","23,65"
28/05/2002,"60,05","23,75"
29/05/2002,"61,17","24,33"
31/05/2002,"61,48","24,44"
03/06/2002,"61,59","24,29"
04/06/2002,"61,74","23,77"
05/06/2002,"63,72","24,42"
06/06/2002,"64,89","24,39"
07/06/2002,"65,49","24,44"
10/06/2002,"64,13","24,33"
11/06/2002,"64,99","23,96"
12/06/2002,"65,58","23,46"
13/06/2002,"66,1","24,39"
14/06/2002,"64,74","23,83"
17/06/2002,"65,05","24,43"
18/06/2002,"64,92","23,92"
19/06/2002,"65,76","24,29"
20/06/2002,"66,26","23,95"
21/06/2002,"67,05","24,03"
24/06/2002,"68,04","24,47"
25/06/2002,"68,3","24,18"
26/06/2002,"68,61","23,81"
27/06/2002,"69,27","24,26"
28/06/2002,"68,32","23,95"
01/07/2002,"68,79","23,75"
02/07/2002,"70,16","24,26"
03/07/2002,"69,4","24,22"
04/07/2002,"69,37","24,35"
05/07/2002,"69,87","24,34"
08/07/2002,"69,52","24,3"
10/07/2002,"69,62","24,42"
11/07/2002,"71,13","25,48"
12/07/2002,"70,59","25,11"
15/07/2002,"68,22","23,92"
16/07/2002,"68,93",24
17/07/2002,"70,05","24,18"
18/07/2002,"69,34","24,32"
19/07/2002,"69,37","24,17"
22/07/2002,"69,56","23,96"
23/07/2002,"69,67","23,86"
24/07/2002,"69,68","23,65"
25/07/2002,"70,24","23,45"
26/07/2002,"70,34","23,35"
29/07/2002,"69,54","21,83"
30/07/2002,"70,45","21,35"
31/07/2002,"71,78","20,68"
01/08/2002,"71,39","22,59"
02/08/2002,"71,76","23,84"
05/08/2002,"71,39","22,56"
06/08/2002,"72,42","23,25"
07/08/2002,"71,49","23,67"
08/08/2002,"70,83","24,3"
09/08/2002,"70,47","23,26"
12/08/2002,"71,07","22,52"
13/08/2002,"71,66","22,64"
14/08/2002,"72,18","22,52"
15/08/2002,"72,27","22,51"
16/08/2002,"71,83","22,98"
19/08/2002,"72,03","23,2"
20/08/2002,"72,17","23,28"
21/08/2002,"72,25","23,42"
22/08/2002,"73,11","23,25"
23/08/2002,"73,32","23,55"
26/08/2002,"72,83","23,57"
