data,valor,estacao_ano,valor_semestre,valor_bimestre
2005_3,307.56,1,,5049.889999999999
2005_4,320.03,2,,4471.67
2005_5,286.63,2,,5043.34
2005_6,283.33,2,,6013.46
2005_7,264.85,3,,6989920.0
2005_8,268.8,3,,6429.530000000001
2005_9,277.53,3,,5688.049999999999
2005_10,237.58,4,,5835.87
2005_11,239.78,4,,5755.9400000000005
2005_12,256.64,4,,4863.82
2004_1,188.04,1,,832617.0
2004_2,197.28,1,,1041350.0
2004_3,199.09,1,,1040253.0
2004_4,194.64,2,,1027567.0
2004_5,215.06,2,,1432848.0
2004_6,229.31,2,,3732043.0
2004_7,196.09,3,,139796.01
2004_8,184.15,3,,170459.36
2004_9,189.52,3,,216483.19
2004_10,187.96,4,,292721.64
2004_11,210.23,4,,364273.82999999996
2004_12,230.88,4,,478215.0
2003_1,182.17,1,,60649.259999999995
2003_2,184.75,1,,59509.509999999995
2003_3,166.38,1,,58537.81
2003_4,172.98,2,,63275.86
2003_5,167.07,2,,80446.98000000001
2003_6,152.82,2,,100249.07
2003_7,161.39,3,,22272.57
2003_8,169.79,3,,25806.97
2003_9,173.96,3,,30087.66
2003_10,163.06,4,,31704.010000000002
2003_11,162.67,4,,35175.119999999995
2003_12,173.21,4,,45013.759999999995
2002_1,102.83,1,,12899.68
2002_2,104.1,1,,12842.84
2002_3,111.57,1,,12618.92
2002_4,112.52,2,,13988.55
2002_5,97.61,2,,15415.69
2002_6,95.83,2,,18725.29
2002_7,104.71,3,,
2002_8,110.73,3,,
2002_9,120.56,3,,
2002_10,147.85,4,,
2002_11,167.93,4,,
2002_12,169.42,4,,
2001_1,121.03,1,,
2001_2,118.46,1,,
2001_3,120.61,1,,
2001_4,110.68,2,,
2001_5,125.68,2,,
2001_6,116.6,2,,
2001_7,110.97,3,,
2001_8,112.3,3,,
2001_9,108.25,3,,
2001_10,95.88,4,,
2001_11,90.68,4,,
2001_12,92.11,4,,
2000_1,215.77,1,,
2000_2,192.51,1,,
2000_3,183.41,1,,
2000_4,174.49,2,,
2000_5,169.07,2,,
2000_6,150.13,2,,
2000_7,163.08,3,,
2000_8,151.3,3,,
2000_9,146.36,3,,
2000_10,129.36,4,,
2000_11,123.51,4,,
2000_12,120.71,4,,
1999_1,170.76,1,,
1999_2,183.8,1,,
1999_3,187.76,1,,
1999_4,164.8,2,,
1999_5,181.57,2,,
1999_6,176.69,2,,
1999_7,157.98,3,,
1999_8,156.92,3,,
1999_9,143.04,3,,
1999_10,186.47,4,,
1999_11,207.35,4,,
1999_12,245.61,4,,
1998_1,235.89,1,,
1998_2,233.53,1,,
1998_3,201.63,1,,
1998_4,181.55,2,,
1998_5,152.16,2,,
1998_6,137.13,2,,
1998_7,122.94,3,,
1998_8,132.33,3,,
1998_9,117.13,3,,
1998_10,113.77,4,,
1998_11,123.76,4,,
1998_12,135.04,4,,
1997_1,154.38,1,,
1997_2,188.83,1,,
1997_3,197.54,1,,
1997_4,212.58,2,,
1997_5,221.56,2,,
1997_6,209.94,2,,
1997_7,179.74,3,,
1997_8,195.56,3,,
1997_9,205.5,3,,
1997_10,192.15,4,,
1997_11,212.84,4,,
1997_12,212.85,4,,
1996_1,133.13,1,,
1996_2,149.81,1,,
1996_3,144.59,1,,
1996_4,133.9,2,,
1996_5,141.97,2,,
1996_6,121.95,2,,
1996_7,101.63,3,,
1996_8,106.58,3,,
1996_9,112.72,3,,
1996_10,111.9,4,,
1996_11,112.38,4,,
1996_12,117.35,4,,
1995_1,140.66,1,,
1995_2,135.89,1,,
1995_3,151.06,1,,
1995_4,145.98,2,,
1995_5,143.58,2,,
1995_6,133.01,2,,
1995_7,128.5,3,,
1995_8,135.28,3,,
1995_9,124.89,3,,
1995_10,121.84,4,,
1995_11,122.34,4,,
1995_12,112.82,4,,
1994_1,28732.0,1,,
1994_2,42928.0,1,,
1994_3,62876.0,1,,
1994_4,105521.0,2,,
1994_5,182842.53,2,,
1994_6,302016.37,2,,
1994_7,195.14,3,,
1994_8,171.03,3,,
1994_9,180.19,3,,
1994_10,157.68,4,,
1994_11,141.68,4,,
1994_12,130.25,4,,
1993_1,970870.24,1,,
1993_2,1147732.0,1,,
1993_3,1505594.88,1,,
1993_4,1541264.0,2,,
1993_5,2142885.0,2,,
1993_6,2792860.0,2,,
1993_7,4056066.0,3,,
1993_8,6077.0,3,,
1993_9,8075.0,3,,
1993_10,11198.0,4,,
1993_11,15138.0,4,,
1993_12,20790.0,4,,
1992_1,64935.0,1,,
1992_2,76055.0,1,,
1992_3,98784.1,1,,
1992_4,108265.68,2,,
1992_5,114791.66,2,,
1992_6,136521.87,2,,
1992_7,176592.33,3,,
1992_8,189123.22,3,,
1992_9,259860.55,3,,
1992_10,423983.74,4,,
1992_11,550391.62,4,,
1992_12,867005.83,4,,
1991_1,11882.35,1,,
1991_2,15940.37,1,,
1991_3,17489.74,1,,
1991_4,18693.57,2,,
1991_5,18010.39,2,,
1991_6,18675.08,2,,
1991_7,19333.11,3,,
1991_8,20145.01,3,,
1991_9,26744.61,3,,
1991_10,33903.0,4,,
1991_11,40528.0,4,,
1991_12,44367.0,4,,
1990_1,1197.83,1,,
1990_2,2229.4,1,,
1990_3,4657.87,1,,
1990_4,4569.06,2,,
1990_5,4741.11,2,,
1990_6,4606.12,2,,
1990_7,4604.83,3,,
1990_8,6110.39,3,,
1990_9,6409.4,3,,
1990_10,6581.29,4,,
1990_11,7043.68,4,,
1990_12,9658.44,4,,
1989_1,109.28,1,,
1989_2,93.55,1,,
1989_3,102.98,1,,
1989_4,128.18,2,,
1989_5,160.91,2,,
1989_6,157.48,2,,
1989_7,150.57,3,,
1989_8,147.41,3,,
1989_9,198.66,3,,
1989_10,244.63,4,,
1989_11,412.2,4,,
1989_12,598.37,4,,
1988_1,3999.32,1,,
1988_2,5619.86,1,,
1988_3,6878.7,1,,
1988_4,7835.88,2,,
1988_5,8662.83,2,,
1988_6,12520.65,2,,
1988_7,14784.6,3,,
1988_8,15723.48,3,,
1988_9,22558.67,3,,
1988_10,28117.1,4,,
1988_11,38690.88,4,,
1988_12,67768.1,4,,
1987_1,1898.09,1,,
1987_2,1839.29,1,,
1987_3,1812.81,1,,
1987_4,1925.28,2,,
1987_5,2599.25,2,,
1987_6,2450.64,2,,
1987_7,2254.18,3,,
1987_8,2217.49,3,,
1987_9,2294.09,3,,
1987_10,2749.25,4,,
1987_11,2945.86,4,,
1987_12,3067.6,4,,
1986_1,3491768.0,1,,
1986_2,3498152.0,1,,
1986_3,3464.15,1,,
1986_4,2965.38,2,,
1986_5,2953.35,2,,
1986_6,2734.7,2,,
1986_7,2844.75,3,,
1986_8,2991.12,3,,
1986_9,3034.67,3,,
1986_10,2721.27,4,,
1986_11,2723.48,4,,
1986_12,2140.34,4,,
1985_1,388133.0,1,,
1985_2,444484.0,1,,
1985_3,501629.0,1,,
1985_4,539721.0,2,,
1985_5,528152.0,2,,
1985_6,512101.0,2,,
1985_7,504678.0,3,,
1985_8,522889.0,3,,
1985_9,557932.0,3,,
1985_10,874916.0,4,,
1985_11,1282990.0,4,,
1985_12,2449053.0,4,,
1984_1,66626.31,1,,
1984_2,73169.7,1,,
1984_3,84519.93,1,,
1984_4,85939.43,2,,
1984_5,94542.67,2,,
1984_6,121940.52,2,,
1984_7,145551.52,3,,
1984_8,147170.12,3,,
1984_9,170772.83,3,,
1984_10,193501.0,4,,
1984_11,219316.0,4,,
1984_12,258899.0,4,,
1983_1,24664.3,1,,
1983_2,35984.96,1,,
1983_3,29887.05,1,,
1983_4,29622.46,2,,
1983_5,29531.22,2,,
1983_6,29006.59,2,,
1983_7,29595.9,3,,
1983_8,33679.96,3,,
1983_9,37445.32,3,,
1983_10,43001.66,4,,
1983_11,45297.57,4,,
1983_12,54951.5,4,,
1982_1,10751.46,1,,
1982_2,11521.11,1,,
1982_3,12409.68,1,,
1982_4,13397.29,2,,
1982_5,13922.95,2,,
1982_6,16164.71,2,,
1982_7,15423.39,3,,
1982_8,16280.62,3,,
1982_9,16946.96,3,,
1982_10,18228.16,4,,
1982_11,20552.48,4,,
1982_12,24461.28,4,,
1981_1,6336.11,1,,
1981_2,6563.57,1,,
1981_3,6421.42,1,,
1981_4,6421.42,2,,
1981_5,6411.71,2,,
1981_6,6207.21,2,,
1981_7,6533.26,3,,
1981_8,7455.29,3,,
1981_9,7601.47,3,,
1981_10,7814.22,4,,
1981_11,8670.28,4,,
1981_12,10055.01,4,,
