index,data,estacao_ano,valor,valor_bimestre,valor_semestre,janela_bimestre
146,1993_2,1,1147732.0,2118602.24,2118602.24,2118602.24
147,1993_3,1,1505594.88,1505594.88,3624197.12,2653326.88
148,1993_4,2,1541264.0,3046858.88,5165461.12,3046858.88
149,1993_5,2,2142885.0,2142885.0,7308346.12,3684149.0
150,1993_6,2,2792860.0,4935745.0,10101206.120000001,4935745.0
151,1993_7,3,4056066.0,4056066.0,4056066.0,6848926.0
152,1993_8,3,6077.0,4062143.0,4062143.0,4062143.0
153,1993_9,3,8075.0,8075.0,4070218.0,14152.0
154,1993_10,4,11198.0,19273.0,4081416.0,19273.0
155,1993_11,4,15138.0,15138.0,4096554.0,26336.0
156,1993_12,4,20790.0,35928.0,4117344.0,35928.0
157,1994_1,1,28732.0,28732.0,28732.0,49522.0
158,1994_2,1,42928.0,71660.0,71660.0,71660.0
159,1994_3,1,62876.0,62876.0,134536.0,105804.0
160,1994_4,2,105521.0,168397.0,240057.0,168397.0
161,1994_5,2,182842.53,182842.53,422899.53,288363.53
162,1994_6,2,302016.37,484858.9,724915.9,484858.9
163,1994_7,3,195.14,195.14,195.14,302211.51
164,1994_8,3,171.03,366.16999999999996,366.16999999999996,366.16999999999996
165,1994_9,3,180.19,180.19,546.3599999999999,351.22
166,1994_10,4,157.68,337.87,704.04,337.87
167,1994_11,4,141.68,141.68,845.72,299.36
168,1994_12,4,130.25,271.93,975.97,271.93
169,1995_1,1,140.66,140.66,140.66,270.90999999999997
170,1995_2,1,135.89,276.54999999999995,276.54999999999995,276.54999999999995
171,1995_3,1,151.06,151.06,427.60999999999996,286.95
172,1995_4,2,145.98,297.03999999999996,573.5899999999999,297.03999999999996
173,1995_5,2,143.58,143.58,717.17,289.56
174,1995_6,2,133.01,276.59000000000003,850.18,276.59000000000003
175,1995_7,3,128.5,128.5,128.5,261.51
176,1995_8,3,135.28,263.78,263.78,263.78
177,1995_9,3,124.89,124.89,388.66999999999996,260.17
178,1995_10,4,121.84,246.73000000000002,510.51,246.73000000000002
179,1995_11,4,122.34,122.34,632.85,244.18
180,1995_12,4,112.82,235.16,745.6700000000001,235.16
181,1996_1,1,133.13,133.13,133.13,245.95
182,1996_2,1,149.81,282.94,282.94,282.94
183,1996_3,1,144.59,144.59,427.53,294.4
184,1996_4,2,133.9,278.49,561.43,278.49
185,1996_5,2,141.97,141.97,703.4,275.87
186,1996_6,2,121.95,263.92,825.35,263.92
187,1996_7,3,101.63,101.63,101.63,223.57999999999998
188,1996_8,3,106.58,208.20999999999998,208.20999999999998,208.20999999999998
189,1996_9,3,112.72,112.72,320.92999999999995,219.3
190,1996_10,4,111.9,224.62,432.8299999999999,224.62
191,1996_11,4,112.38,112.38,545.2099999999999,224.28
192,1996_12,4,117.35,229.73,662.56,229.73
193,1997_1,1,154.38,154.38,154.38,271.73
194,1997_2,1,188.83,343.21000000000004,343.21000000000004,343.21000000000004
195,1997_3,1,197.54,197.54,540.75,386.37
196,1997_4,2,212.58,410.12,753.33,410.12
197,1997_5,2,221.56,221.56,974.8900000000001,434.14
198,1997_6,2,209.94,431.5,1184.8300000000002,431.5
199,1997_7,3,179.74,179.74,179.74,389.68
200,1997_8,3,195.56,375.3,375.3,375.3
201,1997_9,3,205.5,205.5,580.8,401.06
202,1997_10,4,192.15,397.65,772.9499999999999,397.65
203,1997_11,4,212.84,212.84,985.79,404.99
204,1997_12,4,212.85,425.69,1198.6399999999999,425.69
205,1998_1,1,235.89,235.89,235.89,448.74
206,1998_2,1,233.53,469.41999999999996,469.41999999999996,469.41999999999996
