index,data,estacao_ano,valor,valor_bimestre,valor_semestre,janela_bimestre
320,2007_8,3,255.14,498.52,498.52,498.52
321,2007_9,3,253.06,253.06,751.5799999999999,508.2
322,2007_10,4,257.43,510.49,1009.01,510.49
323,2007_11,4,245.71,245.71,1254.72,503.14
324,2007_12,4,255.43,501.14,1510.15,501.14
325,2008_1,1,255.94,255.94,255.94,511.37
326,2008_2,1,274.19,530.13,530.13,530.13
327,2008_3,1,260.42,260.42,790.55,534.61
328,2008_4,2,244.31,504.73,1034.86,504.73
329,2008_5,2,244.54,244.54,1279.3999999999999,488.85
330,2008_6,2,251.89,496.42999999999995,1531.29,496.42999999999995
331,2008_7,3,261.99,261.99,261.99,513.88
332,2008_8,3,267.53,529.52,529.52,529.52
333,2008_9,3,270.08,270.08,799.5999999999999,537.6099999999999
334,2008_10,4,252.0,522.0799999999999,1051.6,522.0799999999999
335,2008_11,4,245.12,245.12,1296.7199999999998,497.12
336,2008_12,4,250.12,495.24,1546.8399999999997,495.24
337,2009_1,1,257.2,257.2,257.2,507.32
338,2009_2,1,262.78,519.98,519.98,519.98
339,2009_3,1,257.98,257.98,777.96,520.76
340,2009_4,2,261.94,519.9200000000001,1039.9,519.9200000000001
341,2009_5,2,261.5,261.5,1301.4,523.44
342,2009_6,2,256.05,517.55,1557.45,517.55
343,2009_7,3,256.19,256.19,256.19,512.24
344,2009_8,3,268.99,525.1800000000001,525.1800000000001,525.1800000000001
345,2009_9,3,254.8,254.8,779.98,523.79
346,2009_10,4,245.34,500.14,1025.32,500.14
347,2009_11,4,271.77,271.77,1297.09,517.11
348,2009_12,4,273.78,545.55,1570.87,545.55
349,2010_1,1,282.41,282.41,282.41,556.19
350,2010_2,1,274.39,556.8,556.8,556.8
351,2010_3,1,267.6,267.6,824.4,541.99
352,2010_4,2,258.5,526.1,1082.9,526.1
353,2010_5,2,262.84,262.84,1345.74,521.3399999999999
354,2010_6,2,286.17,549.01,1631.91,549.01
355,2010_7,3,294.53,294.53,294.53,580.7
356,2010_8,3,294.06,588.5899999999999,588.5899999999999,588.5899999999999
357,2010_9,3,291.67,291.67,880.26,585.73
358,2010_10,4,295.58,587.25,1175.84,587.25
359,2010_11,4,315.92,315.92,1491.76,611.5
360,2010_12,4,345.01,660.9300000000001,1836.77,660.9300000000001
361,2011_1,1,405.52,405.52,405.52,750.53
362,2011_2,1,473.95,879.47,879.47,879.47
363,2011_3,1,493.91,493.91,1373.38,967.86
364,2011_4,2,506.52,1000.4300000000001,1879.9,1000.4300000000001
365,2011_5,2,500.25,500.25,2380.15,1006.77
366,2011_6,2,484.58,984.8299999999999,2864.73,984.8299999999999
367,2011_7,3,445.01,445.01,445.01,929.5899999999999
368,2011_8,3,442.18,887.19,887.19,887.19
369,2011_9,3,458.07,458.07,1345.26,900.25
370,2011_10,4,459.42,917.49,1804.68,917.49
371,2011_11,4,478.76,478.76,2283.44,938.1800000000001
372,2011_12,4,476.54,955.3,2759.98,955.3
373,2012_1,1,473.8,473.8,473.8,950.34
374,2012_2,1,444.78,918.5799999999999,918.5799999999999,918.5799999999999
375,2012_3,1,402.54,402.54,1321.12,847.3199999999999
376,2012_4,2,374.13,776.6700000000001,1695.25,776.6700000000001
377,2012_5,2,385.05,385.05,2080.3,759.1800000000001
378,2012_6,2,366.47,751.52,2446.7700000000004,751.52
379,2012_7,3,420.85,420.85,420.85,787.32
380,2012_8,3,403.73,824.58,824.58,824.58
381,2012_9,3,394.25,394.25,1218.83,797.98
382,2012_10,4,378.21,772.46,1597.04,772.46
383,2012_11,4,347.7,347.7,1944.74,725.91
